LONGITUDE,LATITUDE,ALT_GEOM,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOTENCIAL,DATUM_ALT,FONT_ALT,GRAV_OBS
-34.92373333,-7.68386667,"42,500",,,,,,"978.149,03"
-35.20876944,-7.70856944,"75,650",,,,,,"978.120,78"
-35.29203056,-7.70833611,"126,970",,,,,,"978.099,36"
-35.37601944,-7.707725,"212,580",,,,,,"978.074,30"
-35.20446944,-7.62596944,"98,320",,,,,,"978.114,54"
-35.28913611,-7.62552778,"117,640",,,,,,"978.100,49"
-35.37567778,-7.625225,"134,210",,,,,,"978.088,62"
-35.37348056,-7.54959444,"325,910",,,,,,"978.044,88"
-35.20841389,-7.54174722,"69,770",,,,,,"978.117,64"
-35.28916389,-7.53666111,"126,770",,,,,,"978.091,02"
-36.060275,-7.79611667,"453,440",,,,,,"977.998,90"
-35.95884444,-7.79279722,"491,450",,,,,,"977.996,03"
-35.87800833,-7.79206667,"453,410",,,,,,"978.006,45"
-35.88148056,-7.71028611,"543,550",,,,,,"977.990,33"
-35.95266111,-7.70959722,"374,840",,,,,,"978.021,97"
-36.04153611,-7.70638611,"409,250",,,,,,"978.011,59"
-35.87536111,-7.62614167,"340,760",,,,,,"978.031,76"
-36.041425,-7.62473333,"421,860",,,,,,"978.014,01"
-35.96061944,-7.61468611,"318,740",,,,,,"978.032,85"
-36.03971667,-7.54176944,"401,440",,,,,,"978.020,55"
-35.87471944,-7.54026389,"401,850",,,,,,"978.022,30"
-35.96002222,-7.53953333,"358,680",,,,,,"978.029,95"
-35.95731667,-7.45909444,"359,430",,,,,,"978.039,60"
-35.87501667,-7.45881667,"329,620",,,,,,"978.046,93"
-36.06391667,-7.43458333,,"419,8566","0,092","4.106,426",Imbituba,Nivelamento Geométrico,"978.028,37"
-36.039925,-7.41826944,"421,690",,,,,,"978.026,97"
-35.62181111,-7.79246111,"410,490",,,,,,"978.020,66"
-35.70839722,-7.79164167,"380,090",,,,,,"978.025,26"
-35.79044444,-7.79131667,"470,980",,,,,,"978.003,64"
-35.62876111,-7.71067778,"377,290",,,,,,"978.030,67"
-35.79266111,-7.70876667,"396,090",,,,,,"978.020,39"
-35.70864167,-7.70790278,"492,360",,,,,,"978.005,54"
-35.62248333,-7.62538056,"322,160",,,,,,"978.040,91"
-35.78969167,-7.62212222,"300,220",,,,,,"978.041,83"
-35.71141944,-7.62025833,"418,170",,,,,,"978.019,89"
-35.54282222,-7.54219722,"426,210",,,,,,"978.021,37"
-35.46102778,-7.79092778,"174,850",,,,,,"978.078,09"
-35.54163889,-7.79035,"279,030",,,,,,"978.050,95"
-35.37689444,-7.78878333,"147,550",,,,,,"978.089,51"
-35.45887778,-7.71041667,"349,080",,,,,,"978.041,95"
-35.541675,-7.70846111,"306,980",,,,,,"978.046,41"
-35.46003333,-7.62500556,"436,060",,,,,,"978.020,90"
-35.54343056,-7.62422222,"550,290",,,,,,"977.997,34"
-35.45951111,-7.54171667,"441,790",,,,,,"978.018,94"
-34.85757222,-7.80391111,"46,910",,,,,,"978.156,91"
-34.84000833,-7.80104167,"-2,330",,,,,,"978.169,07"
-34.90795278,-7.80013056,"9,310",,,,,,"978.161,97"
-34.86915556,-7.79784722,"59,480",,,,,,"978.153,35"
-34.85801667,-7.78510278,"49,960",,,,,,"978.155,72"
-34.87518611,-7.78499444,"3,460",,,,,,"978.165,45"
-34.84066667,-7.78451111,"0,000",,,,,,"978.167,98"
-34.90768333,-7.784175,"21,720",,,,,,"978.158,96"
-34.89244167,-7.78071667,"1,440",,,,,,"978.164,32"
-34.89167222,-7.77158333,"0,630",,,,,,"978.164,44"
-34.87409722,-7.76898333,"2,550",,,,,,"978.165,65"
-34.90716667,-7.76758889,"9,530",,,,,,"978.161,47"
-34.83860556,-7.76753333,"12,030",,,,,,"978.165,20"
-34.85596389,-7.76699722,"5,360",,,,,,"978.166,15"
-34.87233056,-7.75493333,"-2,260",,,,,,"978.166,31"
-34.83969722,-7.75153889,"24,260",,,,,,"978.161,93"
-34.89040556,-7.7513,"-3,110",,,,,,"978.165,87"
-34.90806944,-7.75018333,"8,520",,,,,,"978.162,18"
-34.85721667,-7.75001667,"16,850",,,,,,"978.162,70"
-34.8513,-7.74033889,"50,300",,,,,,"978.154,30"
-34.83613889,-7.73527222,"1,390",,,,,,"978.166,86"
-34.90690833,-7.73441389,"15,940",,,,,,"978.160,00"
-34.89108333,-7.73395556,"-2,520",,,,,,"978.167,31"
-34.87882222,-7.73004444,"-1,880",,,,,,"978.167,73"
-34.89035278,-7.72024722,"-2,620",,,,,,"978.165,85"
-34.840475,-7.71743611,"2,890",,,,,,"978.165,31"
-34.8732,-7.71735278,"-2,140",,,,,,"978.166,89"
-34.85632778,-7.71693889,"10,320",,,,,,"978.163,29"
-34.90771389,-7.71631944,"14,180",,,,,,"978.158,64"
-34.95743333,-7.75134444,"80,390",,,,,,"978.141,84"
-34.95771944,-7.76690278,"77,060",,,,,,"978.142,74"
-34.9578,-7.78364722,"64,800",,,,,,"978.145,22"
-34.95768333,-7.80113889,"77,730",,,,,,"978.142,69"
-34.95853056,-7.81501111,"66,570",,,,,,"978.145,34"
-34.93941667,-7.71801944,"75,130",,,,,,"978.138,21"
-34.93973333,-7.73429722,"71,590",,,,,,"978.142,55"
-34.93965556,-7.75266944,"10,310",,,,,,"978.158,36"
-34.93758333,-7.74663889,"25,440",,,,,,"978.155,55"
-34.93923333,-7.76826944,"8,310",,,,,,"978.160,13"
-34.94039167,-7.78441667,"34,220",,,,,,"978.153,62"
-34.94126667,-7.80056667,"79,620",,,,,,"978.144,10"
-34.93973333,-7.81853333,"83,460",,,,,,"978.142,96"
-34.92471944,-7.71641944,"53,690",,,,,,"978.145,44"
-34.92532222,-7.74923611,"29,780",,,,,,"978.154,91"
-34.92336944,-7.73406667,"12,770",,,,,,"978.158,28"
-34.92788889,-7.79636111,"71,990",,,,,,"978.147,29"
-34.92263611,-7.76781111,"50,120",,,,,,"978.151,77"
-34.92388056,-7.78425278,"63,780",,,,,,"978.148,50"
-34.92345278,-7.79886111,"63,560",,,,,,"978.148,80"
-34.92360278,-7.81743333,"50,350",,,,,,"978.151,75"
-35.02271944,-7.78445833,"128,060",,,,,,"978.129,28"
-35.02266944,-7.80085,"88,540",,,,,,"978.138,69"
-35.02529167,-7.83116944,"47,510",,,,,,"978.145,28"
-35.02185833,-7.81758056,"26,840",,,,,,"978.150,39"
-35.00938889,-7.75316111,"38,780",,,,,,"978.149,91"
-35.00713611,-7.76725,"137,630",,,,,,"978.125,25"
-35.00614722,-7.78479167,"53,850",,,,,,"978.145,67"
-35.00729722,-7.81778889,"25,150",,,,,,"978.150,95"
-34.9915,-7.73549722,"94,960",,,,,,"978.131,10"
-34.99054722,-7.76762222,"117,870",,,,,,"978.126,79"
-34.99216944,-7.79980833,"17,980",,,,,,"978.153,57"
-34.98736944,-7.75232222,"33,870",,,,,,"978.146,56"
-34.9895,-7.78241667,"101,660",,,,,,"978.131,76"
-34.99083611,-7.8177,"101,000",,,,,,"978.134,39"
-34.97343889,-7.71804444,"69,880",,,,,,"978.137,07"
-34.97274167,-7.73593056,"76,150",,,,,,"978.141,32"
-34.97374167,-7.75055,"104,540",,,,,,"978.136,15"
-34.97463056,-7.76781389,"81,900",,,,,,"978.139,86"
-34.97628333,-7.799025,"44,190",,,,,,"978.147,89"
-34.97403333,-7.78393611,"9,060",,,,,,"978.156,09"
-34.97391944,-7.81767778,"98,820",,,,,,"978.137,42"
-34.95844444,-7.71569722,"65,720",,,,,,"978.139,08"
-34.95684167,-7.73445556,"44,400",,,,,,"978.148,54"
-35.20874167,-7.87484722,"104,650",,,,,,"978.118,39"
-35.29233889,-7.87433611,"81,880",,,,,,"978.116,74"
-35.28622222,-7.79423889,"68,200",,,,,,"978.119,32"
-35.20811111,-7.79288056,"97,020",,,,,,"978.121,86"
-34.99028333,-7.90306389,"103,800",,,,,,"978.139,37"
-34.94005556,-7.90133611,"85,150",,,,,,"978.144,60"
-35.05722778,-7.90124444,"130,820",,,,,,"978.126,52"
-35.08729722,-7.90121944,"130,210",,,,,,"978.122,64"
-35.10758333,-7.90119722,"113,040",,,,,,"978.124,69"
-35.12355278,-7.90110556,"84,780",,,,,,"978.130,52"
-34.97348889,-7.901025,"100,890",,,,,,"978.141,02"
-35.02243889,-7.90076944,"117,040",,,,,,"978.133,64"
-35.07146111,-7.90023333,"132,700",,,,,,"978.124,35"
-35.00441944,-7.89922778,"102,240",,,,,,"978.138,47"
-35.03805556,-7.897175,"104,500",,,,,,"978.134,24"
-35.09277778,-7.88795,"135,620",,,,,,"978.122,68"
-34.954875,-7.88632778,"25,740",,,,,,"978.155,79"
-35.00529167,-7.8847,"109,150",,,,,,"978.134,97"
-35.05703056,-7.88465833,"67,190",,,,,,"978.138,22"
-34.94006944,-7.88428333,"16,220",,,,,,"978.158,61"
-35.04116389,-7.88426111,"126,880",,,,,,"978.127,09"
-35.02364167,-7.88399722,"87,920",,,,,,"978.137,80"
