LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-62.79193316,-11.84546956,SGB,162.52,978254.48,52.14,33.95,SGB
-62.79186382,-11.85496213,SGB,165.1,978256.99,55.08,36.6,SGB
-62.7919491,-11.86346561,SGB,170.44,978259.38,58.81,39.73,SGB
-62.79210971,-11.8725723,SGB,163.9,978263.91,60.98,42.64,SGB
-62.79197673,-11.8824143,SGB,161.6,978266.16,62.15,44.07,SGB
-62.79195209,-11.89085971,SGB,162.23,978266.52,62.39,44.24,SGB
-62.78484718,-11.89658774,SGB,166.32,978266.19,63.11,44.49,SGB
-62.77548892,-11.89656685,SGB,169.52,978265.21,63.12,44.15,SGB
-62.76631173,-11.89668266,SGB,169.4,978263.88,61.74,42.78,SGB
-62.75693681,-11.89674055,SGB,173.51,978262.48,61.61,42.19,SGB
-62.75540442,-11.90569046,SGB,171.13,978262.43,60.49,41.34,SGB
-62.75550734,-11.91479393,SGB,170.9,978263.9,61.55,42.42,SGB
-62.75549212,-11.92380786,SGB,167.2,978263.07,59.24,40.53,SGB
-62.75542499,-11.93292346,SGB,179.57,978260.09,59.74,39.64,SGB
-62.75533061,-11.94196294,SGB,174.87,978258.02,55.88,36.31,SGB
-62.75535221,-11.95087402,SGB,169.6,978260.35,56.25,37.26,SGB
-62.75523907,-11.96033839,SGB,178,978264.63,62.76,42.84,SGB
-62.75531967,-11.96969707,SGB,184.08,978266.52,66.18,45.58,SGB
-62.75531812,-11.97888144,SGB,182.41,978267.54,66.33,45.92,SGB
-62.7634319,-11.98272862,SGB,184.03,978268.76,67.91,47.31,SGB
-62.77295098,-11.98274839,SGB,175.61,978268.16,64.71,45.05,SGB
-62.78270016,-11.98275803,SGB,178.25,978268.23,65.6,45.65,SGB
-62.79228885,-11.98277151,SGB,173.15,978265.14,60.93,41.55,SGB
-62.80170799,-11.98273796,SGB,169.73,978262.22,56.96,37.96,SGB
-62.81252855,-11.98277115,SGB,165.29,978260.54,53.91,35.41,SGB
-62.82186202,-11.98273944,SGB,164.43,978258.79,51.9,33.49,SGB
-62.83417422,-11.98397119,SGB,163.29,978257.81,50.51,32.24,SGB
